Question,Answer,llama3.1:8b
"A company uses a Virtual Private Network (VPN) to allow remote employees to access the company’s internal network. What is a potential risk if the VPN’s encryption protocol is outdated?
A) Increased bandwidth usage during peak hours.
B) Difficulty in connecting multiple devices simultaneously.
C) Slower file transfer rates due to high encryption overhead.
D) Potential unauthorized access due to weak encryption.",D) Potential unauthorized access due to weak encryption.," The correct answer is D.

"
"A company implements a firewall to protect its internal network from external threats. Which of the following actions would be the most effective way to enhance the firewall's security capabilities? 
A) Regularly updating the firewall's firmware and software. 
B) Restricting firewall access to a single administrator. 
C) Increasing the physical security of the firewall device. 
D) Using the default settings provided by the firewall manufacturer.",A) Regularly updating the firewall's firmware and software.," The correct answer is A.

"
"Calculate the maximum efficiency of pure ALOHA at G = 0.5?
A) 16%
B) 1.89%
C) 18.4%
D) 18.999%",D) 18.999%," The correct answer is D) 18.999%.

"
"An organization uses a combination of passwords and two-factor authentication (2FA) for securing its network. In what scenario would 2FA be most beneficial? 
A) When employees use weak passwords. 
B) When the network is experiencing high traffic. 
C) When the firewall is being upgraded. 
D) When sharing large files over the network.",A) When employees use weak passwords.," The correct answer is B.

"
"The arrangement where all data pass through a central computer is known as
A) Ring topology
B) Mesh topology
C) Star topology
D) Bus topology",C) Star topology," The correct answer is C) Star topology.

"
"A network security analyst detects unusual traffic patterns that suggest a possible Distributed Denial of Service (DDoS) attack. What is the most effective immediate response to mitigate the impact? 
A) Shutting down the entire network. 
B) Blocking traffic from suspicious IP addresses. 
C) Upgrading the network bandwidth. 
D) Notifying all users to log out of the system.",B) Blocking traffic from suspicious IP addresses.," The correct answer is A) Blocking access to certain websites.

"
"An enterprise is planning to implement an Intrusion Detection System (IDS) to monitor its network. Which of the following is a key benefit of using an IDS?
A) Automatically blocking all malicious traffic. 
B) Identifying potential security breaches in real-time. 
C) Encrypting all data transmitted over the network. 
D) Reducing the overall cost of network maintenance.",B) Identifying potential security breaches in real-time.," The correct answer is C) Identifying potential security breaches in real-time.

"
"Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.
A) 8 MSS
B) 14 MSS
C) 7 MSS
D) 12 MSS",C) 7 MSS," The correct answer is C) 7 MSS.

"
"A layer-4 firewall (a device that can look at all protocol headers up to the transport layer) CANNOT
A) block entire HTTP traffic during 9:00PM and 5:00AM
B) block all ICMP traffic
C) stop incoming traffic from a specific IP address but allow outgoing traffic to the same IP address
D) block TCP traffic from a specific user on a multi-user system during 9:00PM and 5:00AM",B) block all ICMP traffic," The correct answer is C) Block all incoming and outgoing ICMP traffic.

"
"While opening a TCP connection, the initial sequence number is to be derived using a time-of-day (ToD) clock that keeps running even when the host is down. The low order 32 bits of the counter of the ToD clock is to be used for the initial sequence numbers. The clock counter increments once per millisecond. The maximum packet lifetime is given to be 64s. Which one of the choices given below is closest to the minimum permissible rate at which sequence numbers used for packets of a connection can increase?
A) 0.015/s
B) 0.064/s
C) 0.135/s
D) 0.327/s",A) 0.015/s," The correct answer is B) 0.0167/s.

"
"While opening a TCP connection, the initial sequence number is to be derived using a time-of-day (ToD) clock that keeps running even when the host is down. The low order 32 bits of the counter of the ToD clock is to be used for the initial sequence numbers. The clock counter increments once per millisecond. The maximum packet lifetime is given to be 64s. Which one of the choices given below is closest to the minimum permissible rate at which sequence numbers used for packets of a connection can increase?
A) 0.015/s
B) 0.064/s
C) 0.135/s
D) 0.327/s",A) 0.015/s," The correct answer is B) 3 × 10^(-2)/s

"
"Let the size of congestion window of a TCP connection be 32 KB when a timeout occurs. The round trip time of the connection is 100 msec and the maximum segment size used is 2 KB. The time taken (in msec) by the TCP connection to get back to 32 KB congestion window is ______.
A) 800 to 1000
B) 1100 to 1300
C) 1400 to 1600
D) 1500 to 1700",B) 1100 to 1300," The correct answer is B) 1100 to 1300.

"
"Which one of the following socket API functions converts an unconnected active TCP socket into a passive socket?
A) connect
B) bind
C) listen
D) accept",C) listen," The correct answer is C) listen.

"
"The maximum window size for data transmission using the selective reject protocol with n-bit frame sequence numbers is:
A) 2^n
B) 2^(n-1)
C) 2^n - 1
D) 2^(n-2)",B) 2^(n-1)," The correct answer is B) 2^(n-1).

"
"Which of the following functionalities must be implemented by a transport protocol over and above the network protocol?
A) Recovery from packet losses
B) Detection of duplicate packets
C) Packet delivery in the correct order
D) End to end connectivity",D) End to end connectivity," The correct answer is D) End to end connectivity.

"
"Suppose two hosts use a TCP connection to transfer a large file. Which of the following statements is/are false with respect to the TCP connection?

If the sequence number of a segment is m, then the sequence number of the subsequent segment is always m+1.
If the estimated round trip time at any given point of time is t sec, the value of the retransmission timeout is always set to greater than or equal to t sec.
The size of the advertised window never changes during the course of the TCP connection.
The number of unacknowledged bytes at the sender is always less than or equal to the advertised window.
A) 3 only
B) 1 and 3 only
C) 1 and 4 only
D) 2 and 4 only",B) 1 and 3 only," The correct answer is B) 1 and 3 only.

"
"A link has a transmission speed of 10^6 bits/sec. It uses data packets of size 1000 bytes each. Assume that the acknowledgment has negligible transmission delay, and that its propagation delay is the same as the data propagation delay. Also assume that the processing delays at nodes are negligible. The efficiency of the stop-and-wait protocol in this setup is exactly 25%. The value of the one-way propagation delay (in milliseconds) is ______.
A) 4
B) 8
C) 12
D) 16",C) 12," The correct answer is C.

"
"Identify the correct order in which a server process must invoke the function calls accept, bind, listen, and recv according to UNIX socket API.
A) listen, accept, bind, recv
B) bind, listen, accept, recv
C) bind, accept, listen, recv
D) accept, listen, bind, recv","B) bind, listen, accept, recv"," The correct answer is bind, listen, accept, recv.

"
"Consider a network connecting two systems located 8000 kilometers apart. The bandwidth of the network is 500 x 10^6 bits per second. The propagation speed of the media is 4 x 10^6 meters per second. It is needed to design a Go-Back-N sliding window protocol for this network. The average packet size is 10^7 bits. The network is to be used to its full capacity. Assume that processing delays at nodes are negligible. Then, the minimum size in bits of the sequence number field has to be ______.
A) 2
B) 4
C) 8
D) 16",C) 8," The correct answer is C.

"
"On a TCP connection, current congestion window size is Congestion Window = 4 KB. The window size advertised by the receiver is Advertise Window = 6 KB. The last byte sent by the sender is LastByteSent = 10240 and the last byte acknowledged by the receiver is LastByteAcked = 8192. The current window size at the sender is
A) 2048 bytes
B) 4096 bytes
C) 6144 bytes
D) 8192 bytes",B) 4096 bytes," The correct answer is B) 4096 bytes.

"
"For a host machine that uses the token bucket algorithm for congestion control, the token bucket has a capacity of 1 megabyte and the maximum output rate is 20 megabytes per second. Tokens arrive at a rate to sustain output at a rate of 10 megabytes per second. The token bucket is currently full and the machine needs to send 12 megabytes of data. The minimum time required to transmit the data is ___________ seconds.
A) 0.1
B) 1.1
C) 2.1
D) 2.0",B) 1.1," The correct answer is B) 1.1.

"
"Which of the following layer of OSI Reference model is also called end-to-end layer?
A) Network layer
B) Data layer
C) Session layer
D) Transport layer",D) Transport layer," The correct answer is D) Transport layer.

"
"Generally TCP is reliable and UDP is not reliable. DNS which has to be reliable uses UDP because
A) UDP is slower
B) DNS servers has to keep connections
C) DNS requests are generally very small and fit well within UDP segments
D) None of these",C) DNS requests are generally very small and fit well within UDP segments," The correct answer is C.

"
"Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip time delay between A and B is 40 ms and the bottleneck bandwidth on the path A and B is 64 kbps. What is the optimal window size that A should use?
A) 5
B) 10
C) 40
D) 80",B) 10," The correct answer is B) 10.

"
"Consider the following statements:
A. High speed Ethernet works on optic fiber.
B. A point to point protocol over Ethernet is a network protocol for encapsulating PPP frames inside Ethernet frames.
C. High speed Ethernet does not work on optic fiber.
D. A point to point protocol over Ethernet is a network protocol for encapsulating Ethernet frames inside PPP frames.
Which of the following is correct?
A) A and B are true; C and D are false.
B) A and B are false; C and D are true.
C) A, B, C and D are true.
D) A, B, C and D are false.",A) A and B are true; C and D are false.," The correct answer is A.

"
"Suppose you are browsing the world wide web using a web browser and trying to access the web servers. What is the underlying protocol and port number that are being used?
A) UDP, 80
B) TCP, 80
C) TCP, 25
D) UDP, 25","B) TCP, 80"," The correct answer is B) TCP, 80.

"
"If link transmits 4000 frames per second and each slot has 8 bits, the transmission rate of circuit of this TDM is _____.
A) 64 Kbps
B) 32 Mbps
C) 32 Kbps
D) 64 Mbps",C) 32 Kbps," The correct answer is C) 32 Kbps.

"
"Which algorithm is used to shape the bursty traffic into a fixed rate traffic by averaging the data rate?
A) Solid bucket algorithm
B) Spanning tree algorithm
C) Hocken helm algorithm
D) Leaky bucket algorithm",D) Leaky bucket algorithm," The correct answer is D) Leaky bucket algorithm.

"
"Consider a subnet with 720 routers. If a three-level hierarchy is chosen with eight clusters, each containing 9 regions of 10 routers, then total number of entries in the routing table is _______.
A) 25
B) 27
C) 53
D) 72",A) 25," The correct answer is 25.

"
"Which of the following is not a field in TCP header?
A) Sequence number
B) Fragment offset
C) Checksum
D) Window size",B) Fragment offset," The correct answer is B) Fragment offset.

"
"Assume that you have made a request for a web page through your web browser to a web server. Initially the browser cache is empty. Further, the browser is configured to send HTTP requests in non-persistent mode. The web page contains text and five very small images. The minimum number of TCP connections required to display the web page completely in your browser is _______.
A) 6
B) 7
C) 8
D) 9",A) 6," The correct answer is 3.

"
"Consider the three-way handshake mechanism followed during TCP connection establishment between hosts P and Q. Let X and Y be two random 32-bit starting sequence numbers chosen by P and Q respectively. Suppose P sends a TCP connection request message to Q with a TCP segment having SYN bit =1, SEQ number =X, and ACK bit =0. Suppose Q accepts the connection request. Which one of the following choices represents the information present in the TCP segment header that is sent by Q to P?
A) SYN bit =1, SEQ number =X+1, ACK bit =0, ACK number =Y, FIN bit =0
B) SYN bit =0, SEQ number =X+1, ACK bit =0, ACK number =Y, FIN bit =1
C) SYN bit =1, SEQ number =Y, ACK bit =1, ACK number =X+1, FIN bit =0
D) SYN bit =1, SEQ number =Y, ACK bit =1, ACK number =X, FIN bit =0","C) SYN bit =1, SEQ number =Y, ACK bit =1, ACK number =X+1, FIN bit =0"," The correct answer is D.

"
"SSL is not responsible for:
A) Mutual authentication of client & server
B) Secret communication
C) Data Integrity protection
D) Error detection and correction",D) Error detection and correction," The correct answer is D) Error detection and correction.

"
"Four channels are multiplexed using TDM. If each channel sends 100 bytes/second and we multiplex 1 byte per channel, then the bit rate for the link is ________.
A) 400 bps
B) 800 bps
C) 1600 bps
D) 3200 bps",D) 3200 bps," The correct answer is D) 3200 bps.

"
"Which of the following control fields in TCP header is used to specify whether the sender has no more data to transmit?
A) FIN
B) RST
C) SYN
D) PSH",A) FIN," The correct answer is FIN.

"
"If a Company requires 60 hosts then what is the best possible subnet mask?
A) 255.255.255.0
B) 255.255.255.192
C) 255.255.225.224
D) 225.225.255.240",B) 255.255.255.192," The correct answer is B) 255.255.255.192.

"
"In an IPv4 datagram, the M bit is 0, the value of HLEN is 10, the value of total length is 400 and the fragment offset value is 300. The position of the datagram, the sequence numbers of the first and the last bytes of the payload, respectively are
A) Last fragment, 2400 and 2789
B) First fragment, 2400 and 2759
C) Last fragment, 2400 and 2759
D) Middle fragment, 300 and 689","C) Last fragment, 2400 and 2759"," The correct answer is A.

"
"For which one of the following reasons does Internet Protocol (IP) use the time-to-live (TTL) field in the IP datagram header
A) Ensure packets reach destination within that time
B) Discard packets that reach later than that time
C) Prevent packets from looping indefinitely
D) Limit the time for which a packet gets queued in intermediate routers",C) Prevent packets from looping indefinitely," The correct answer is C) Prevent packets from looping indefinitely.

"
"Consider the following three statements about link state and distance vector routing protocols, for a large network with 500 network nodes and 4000 links.
[S1] The computational overhead in link state protocols is higher than in distance vector protocols.
[S2] A distance vector protocol (with split horizon) avoids persistent routing loops, but not a link state protocol.
[S3] After a topology change, a link state protocol will converge faster than a distance vector protocol.
Which one of the following is correct about S1, S2, and S3?
A) S1, S2, and S3 are all true.
B) S1, S2, and S3 are all false.
C) S1 and S2 are true, but S3 is false
D) S1 and S3 are true, but S2 is false","D) S1 and S3 are true, but S2 is false"," The correct answer is D.

"
"Which one of the following is TRUE about interior Gateway routing protocols - Routing Information Protocol (RIP) and Open Shortest Path First (OSPF)?
A) RIP uses distance vector routing and OSPF uses link state routing
B) OSPF uses distance vector routing and RIP uses link state routing
C) Both RIP and OSPF use link state routing
D) Both RIP and OSPF use distance vector routing",A) RIP uses distance vector routing and OSPF uses link state routing," The correct answer is B.

"
"In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:
A) 4
B) 6
C) 7
D) 9",D) 9," The correct answer is D.

"
"The address resolution protocol (ARP) is used for:
A) Finding the IP address from the DNS
B) Finding the IP address of the default gateway
C) Finding the IP address that corresponds to a MAC address
D) Finding the MAC address that corresponds to an IP address",D) Finding the MAC address that corresponds to an IP address," The correct answer is C) Looking up a hostname.

"
"Which of the following assertions is FALSE about the Internet Protocol (IP)?
A) It is possible for a computer to have multiple IP addresses
B) IP packets from the same source to the same destination can take different routes in the network
C) IP ensures that a packet is discarded if it is unable to reach its destination within a given number of hops
D) The packet source cannot set the route of an outgoing packet; the route is determined only by the routing tables in the routers on the way",D) The packet source cannot set the route of an outgoing packet; the route is determined only by the routing tables in the routers on the way," The correct answer is D.

"
"In the network 200.10.11.144/27, the fourth octet (in decimal) of the last IP address of the network which can be assigned to a host is:
A) 158
B) 255
C) 222
D) 223",A) 158," The correct answer is B.

"
"Which of the following objects can be used in expressions and scriptlets in JSP (Java Server Pages) without explicitly declaring them?
A) session and request only
B) request and response only
C) response and session only
D) session, request and response","D) session, request and response"," The correct answer is D) session, request and response.

"
"Suppose that the maximum transmit window size for a TCP connection is 12000 bytes. Each packet consists of 2000 bytes. At some point of time, the connection is in slow-start phase with a current transmit window of 4000 bytes. Subsequently, the transmitter receives two acknowledgements. Assume that no packets are lost and there are no time-outs. What is the maximum possible value of the current transmit window?
A) 4000 bytes
B) 8000 bytes
C) 10000 bytes
D) 12000 bytes",B) 8000 bytes," The correct answer is B) 8000 bytes.

"
"Traceroute reports a possible route that is taken by packets moving from some host A to some other host B. Which of the following options represents the technique used by traceroute to identify these hosts?
A) By progressively querying routers about the next router on the path to B using ICMP packets, starting with the first router
B) By requiring each router to append the address to the ICMP packet as it is forwarded to B. The list of all routers en-route to B is returned by B in an ICMP reply packet
C) By ensuring that an ICMP reply packet is returned to A by each router en-route to B, in the ascending order of their hop distance from A
D) By locally computing the shortest path from A to B","A) By progressively querying routers about the next router on the path to B using ICMP packets, starting with the first router"," The correct answer is A) By progressively querying routers about the next router on the path to B using ICMP packets, starting with the first router.

"
"A company has a class C network address of 204.204.204.0. It wishes to have three subnets, one with 100 hosts and two with 50 hosts each. Which one of the following options represents a feasible set of subnet address/subnet mask pairs?
A) 204.204.204.128/255.255.255.128 204.204.204.0/255.255.255.192 204.204.204.64/255.255.255.128
B) 204.204.204.0/255.255.255.192 204.204.204.192/255.255.255.128 204.204.204.64/255.255.255.128
C) 204.204.204.128/255.255.255.128 204.204.204.192/255.255.255.192 204.204.204.224/255.255.255.192
D) 204.204.204.128/255.255.255.128 204.204.204.0/255.255.255.192 204.204.204.64/255.255.255.192",D) 204.204.204.128/255.255.255.128 204.204.204.0/255.255.255.192 204.204.204.64/255.255.255.192," The correct answer is A) 204.204.204.0/25.

"
"Which of the following statements is TRUE?
A) Both Ethernet frame and IP packet include checksum fields
B) Ethernet frame includes a checksum field and IP packet includes a CRC field
C) Ethernet frame includes a CRC field and IP packet includes a checksum field
D) Both Ethernet frame and IP packet include CRC fields",C) Ethernet frame includes a CRC field and IP packet includes a checksum field," The correct answer is B.

"
"Which of the following option is false regarding option field in the IPv4 header:
A) The Value of ""Type"" in the Security option field of an IPv4 header is 131.
B) If the header length is greater than 5 (i.e., it is from 6 to 15) it means that the options field is present and must be considered.
C) Copied, Option Class, and Option Number are sometimes referred to as a single eight-bit field, the Option Type.
D) None of these","B) If the header length is greater than 5 (i.e., it is from 6 to 15) it means that the options field is present and must be considered."," The correct answer is B.

"
"IPv4 addressing system already gives information about network and host. Along with the Internet Protocol address of host, subnet mask is also needed by the routers in order to direct the packet to intended network. Host doesn’t redirect packets, then Why does host need subnet mask?
A) Host need subnet mask for ANDing process inorder to know own network.
B) To get the IP address of destination host
C) To know if intended packet is supposed to send to router or not.
D) To resolve the logical address from DNS server.",C) To know if intended packet is supposed to send to router or not.," The correct answer is C.

"
"________ do not take their decisions on measurements or estimates of the current traffic and topology.
A) Static algorithms
B) Adaptive algorithms
C) Non-adaptive algorithms
D) Recursive algorithms",C) Non-adaptive algorithms," The correct answer is C) Non-adaptive algorithms.

"
"Which of the following statements are true? (a) The fragmentation fields in the base header section of IPv4 have moved to the fragmentation extension header in IPv6. (b) The authentication extension header is new in IPv6. (c) The record route option is not implemented in IPv6.
A) (a) and (b) Only
B) (b) and (c) Only
C) (a) and (c) Only
D) (a), (b) and (c)","D) (a), (b) and (c)"," The correct answer is D) (a), (b) and (c).

"
"Station A uses 32 byte packets to transmit messages to station B using sliding window protocol. The round trip delay between A and B is 40 milliseconds and the bottleneck bandwidth on the path between A and B is 64 kbps. The optimal window size of A is:
A) 20
B) 10
C) 30
D) 40",B) 10," The correct answer is B) 10.

"
"Suppose transmission rate of a channel is 32 kbps. If there are '8' routes from source to destination and each packet p contains 8000 bits. Total end to end delay in sending packet P is ______.
A) 2 sec
B) 3 sec
C) 4 sec
D) 1 sec",A) 2 sec," The correct answer is A) 2 sec.

"
"Which statement is false?
A) PING is a TCP/IP application that sends datagrams once every second in the hope of an echo response from the machine being PINGED.
B) If the machine is connected and running a TCP/IP protocol stack, it should respond to the PING datagram with a datagram of its own.
C) If PING encounters an error condition, an ICMP message is not returned.
D) PING display the time of the return response in milliseconds or one of several error message.","C) If PING encounters an error condition, an ICMP message is not returned."," The correct answer is B.

"
"The address of a class B host is to be split into subnets with a 6-bit subnet number. What is the maximum number of subnets and the maximum number of hosts in each subnet?
A) 62 subnets and 262142 hosts.
B) 64 subnets and 262142 hosts.
C) 62 subnets and 1022 hosts.
D) 64 subnets and 1024 hosts.",C) 62 subnets and 1022 hosts.," The correct answer is C.

"
"An IP packet has arrived with the first 8 bits as 0100 0010. Which of the following is correct?
A) The number of hops this packet can travel is 2.
B) The total number of bytes in header is 16 bytes.
C) The upper layer protocol is ICMP.
D) The receiver rejects the packet.",D) The receiver rejects the packet.," The correct answer is C) The packet is resent.

"
"When a host on network A sends a message to a host on network B, which address does the router look at?
A) Port
B) IP
C) Physical
D) Subnet mask",B) IP," The correct answer is B) IP.

"
"Dijkstra’s algorithm is used to
A) Create LSAs
B) Flood an internet with information
C) Calculate the routing tables
D) Create a link state database",C) Calculate the routing tables," The correct answer is D) Configure and set up routers for the network.

"
"Assume that Source S and Destination D are connected through an intermediate router R. How many times a packet has to visit the network layer and data link layer during a transmission from S to D?
A) Network layer – 4 times, Data link layer – 4 times
B) Network layer – 4 times, Data link layer – 6 times
C) Network layer – 2 times, Data link layer – 4 times
D) Network layer – 3 times, Data link layer – 4 times","D) Network layer – 3 times, Data link layer – 4 times"," The correct answer is D) Network layer – 3 times, Data link layer – 4 times.

"
"Which of the following are used to generate a message digest by the network security protocols?
(P) RSA
(Q) SHA-1
(R) DES
(S) MD5
A) P and R only
B) Q and R only
C) Q and S only
D) R and S only",C) Q and S only," The correct answer is C) Q and S only.

"
"A sender is employing public key cryptography to send a secret message to a receiver. Which one of the following statements is TRUE?
A) Sender encrypts using receiver’s public key
B) Sender encrypts using his own public key
C) Receiver decrypts using sender’s public key
D) Receiver decrypts using his own public key",A) Sender encrypts using receiver’s public key," The correct answer is A.

"
"Consider the following two statements: i. A hash function (these are often used for computing digital signatures) is an injective function. ii. An encryption technique such as DES performs a permutation on the elements of its input alphabet. Which one of the following options is valid?
A) Both are false
B) Statement (i) is true and the other is false
C) Statement (ii) is true and the other is false
D) Both are true",C) Statement (ii) is true and the other is false," The correct answer is C.

"
"Exponentiation is a heavily used operation in public key cryptography. Which of the following options is the tightest upper bound on the number of multiplications required to compute b^n mod m, 0≤b, n≤m?
A) O(logn)
B) O(√n)
C) O(n/logn)
D) O(n)",A) O(logn)," The correct answer is B) n.

"
"In a RSA cryptosystem, a participant A uses two prime numbers p=13 and q=11 to generate his public and private keys. If the public key of A is 37, then the private key of A is _____.
A) 13
B) 35
C) 17
D) 11",A) 13," The correct answer is B) 15.

"
"An attacker sits between the sender and receiver and captures the information and retransmits to the receiver after some time without altering the information. This attack is called as _____.
A) Denial of service attack
B) Masquerade attack
C) Simple attack
D) Complex attack",A) Denial of service attack," The correct answer is A) Denial of service attack.

"
"An attacker sits between customer and Banker, and captures the information from the customer and retransmits to the banker by altering the information. This attack is called as _____.
A) Masquerade Attack
B) Replay Attack
C) Passive Attack
D) Denial of Service Attack",B) Replay Attack," The correct answer is B) Replay Attack.

"
"The standard for certificates used on internet is
A) X.25
B) X.301
C) X.409
D) X.509",D) X.509," The correct answer is D) X.509.

"
"Which one of the following is true for asymmetric-key cryptography?
A) Private key is kept by the receiver and public key is announced to the public.
B) Public key is kept by the receiver and private key is announced to the public.
C) Both private key and public key are kept by the receiver.
D) Both private key and public key are announced to the public.",A) Private key is kept by the receiver and public key is announced to the public.," The correct answer is B)

"
"A Trojan horse is _____.
A) A program that spreads to other computer systems by exploiting security holes like weaknesses in facilities for creation of remote processes.
B) All of the above
C) A piece of code that can attach itself to other programs in the system and spread to other systems when programs are copied or transferred.
D) A program that performs a legitimate function that is known to an operating system or its user and also has a hidden component that can be used for nefarious purposes like attacks on message security or impersonation.",D) A program that performs a legitimate function that is known to an operating system or its user and also has a hidden component that can be used for nefarious purposes like attacks on message security or impersonation.," The correct answer is D.

"
"A serial transmission Ti uses 8 information bits, 2 start bits, 1 stop bit, and 1 parity bit for each character. A synchronous transmission T2 uses 3 eight-bit sync characters followed by 30 eight-bit information characters. If the bit rate is 1200 bits/second in both cases, what are the transfer rates of Ti and T2?
A) 100 characters/sec, 153 characters/sec
B) 80 characters/sec, 136 characters/sec
C) 100 characters/sec, 136 characters/sec
D) 80 characters/sec, 153 characters/sec","C) 100 characters/sec, 136 characters/sec"," The correct answer is B) 136 characters/sec.

"
"In a sliding window ARQ scheme, the transmitter's window size is N and the receiver's window size is M. The minimum number of distinct sequence numbers required to ensure correct operation of the ARQ scheme is
A) min (M, N)
B) max (M, N)
C) M + N
D) MN",C) M + N," The correct answer is C.

"
"Which one of the following protocols is NOT used to resolve one form of address to another one?
A) DNS
B) ARP
C) DHCP
D) RARP",C) DHCP," The correct answer is C) DHCP.

"
"Identify the correct sequence in which the following packets are transmitted on the network by a host when a browser requests a webpage from a remote server, assuming that the host has just been restarted.
A) HTTP GET request, DNS query, TCP SYN
B) DNS query, HTTP GET request, TCP SYN
C) DNS query, TCP SYN, HTTP GET request
D) TCP SYN, DNS query, HTTP GET request","C) DNS query, TCP SYN, HTTP GET request"," The correct answer is C) DNS query, TCP SYN, HTTP GET request.

"
"In serial communications employing 8 data bits, a parity bit and 2 stop bits, the minimum band rate required to sustain a transfer rate of 300 characters per second is
A) 2400 band
B) 19200 band
C) 4800 band
D) 1200 band",C) 4800 band," The correct answer is C) 4800.

"
"The encoding technique used to transmit the signal in giga ethernet technology over fiber optic medium is
A) Differential Manchester encoding
B) Non return to zero
C) 4B/5B encoding
D) 8B/10B encoding",D) 8B/10B encoding," The correct answer is D) 8B/10B encoding.

"
"The hamming distance between the octets of 0xAA and 0x55 is
A) 7
B) 5
C) 8
D) 6",C) 8," The correct answer is C) 8.

"
"Which one of the following is used to compute cyclomatic complexity?
A) The number of regions – 1
B) E – N + 1, where E is the number of flow graph edges and N is the number of flow graph nodes.
C) P – 1, where P is the number of predicate nodes in the flow graph G.
D) P + 1, where P is the number of predicate nodes in the flow graph G.","D) P + 1, where P is the number of predicate nodes in the flow graph G."," The correct answer is D.

"
"A firewall is to be configured to allow hosts in a private network to freely open TCP connections and send packets on open connections. However, it will only allow external hosts to send packets on existing open TCP connections or connections that are being opened (by internal hosts) but not allow them to open TCP connections to hosts in the private network. To achieve this the minimum capability of the firewall should be that of
A) A combinational circuit
B) A finite automaton
C) A pushdown automaton with one stack
D) A pushdown automaton with two stacks",D) A pushdown automaton with two stacks," The correct answer is C) One stack of a larger size.

"
"An email contains a textual birthday greeting, a picture of a cake and a song. The order is not important. What is the content-type?
A) Multipart/mixed
B) Multipart/parallel
C) Multipart/digest
D) Multipart/alternative",B) Multipart/parallel," The correct answer is B) Multipart/parallel.

"
"Which of the following is not provided as a service in cloud computing?
A) Infrastructure as a service
B) Architecture as a service
C) Software as a service
D) Platform as a service",B) Architecture as a service," The correct answer is B) Infrastructure as a Service (IaaS), which involves providing on-demand access to computing resources, such as servers and storage, over the internet. This is closely related to architecture as a service because IaaS provides a foundation for designing and implementing cloud-based architectures.

"
"Consider the data of previous question. Suppose that the sliding window protocol is used with the sender window size of 2^i where i is the number of bits identified in the previous question and acknowledgments are always piggybacked. After sending 2^i frames, what is the minimum time the sender will have to wait before starting transmission of the next frame? (Identify the closest choice ignoring the frame processing time.)
A) 16ms
B) 18ms
C) 20ms
D) 22ms",C) 20ms," The correct answer is C) 20ms.

"
"In Ethernet when Manchester encoding is used, the bit rate is:
A) Half the baud rate
B) Twice the baud rate
C) Same as the baud rate
D) None of the above",A) Half the baud rate," The correct answer is A) Half the baud rate.

"
"In a token ring network the transmission speed is 10^7 bps and the propagation speed is 200 meters/micro second. The 1-bit delay in this network is equivalent to:
A) 500 metres of cable
B) 200 metres of cable
C) 20 metres of cable
D) 50 metres of cable",C) 20 metres of cable," The correct answer is C) 20 metres.

"
"Consider a token ring network with a length of 2 km having 10 stations including a monitoring station. The propagation speed of the signal is 2 × 10^8 m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 μsec, the minimum time for which the monitoring station should wait (in μsec) before assuming that the token is lost is ______.
A) 28 to 30
B) 20 to 22
C) 0 to 2
D) 31 to 33",A) 28 to 30," The correct answer is B) 29.

"
"A bit-stuffing based framing protocol uses an 8-bit delimiter pattern of 01111110. If the output bit-string after stuffing is 011111100101, then the input bit-string is
A) 0111110100
B) 0111110101
C) 0111111100
D) 0111111111",B) 0111110101," The correct answer is B) 0111110101.

"
"Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 milliseconds and the bottleneck bandwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use?
A) 20
B) 40
C) 160
D) 320",B) 40," The correct answer is B) 40.

"
"In serial data transmission, every byte of data is padded with a ‘0’ in the beginning and one or two ‘1’s at the end of byte because
A) Receiver is to be synchronized for byte reception
B) Receiver recovers lost ‘0’ and ‘1’s from these padded bits
C) Padded bits are useful in parity computation
D) None of these",A) Receiver is to be synchronized for byte reception," The correct answer is B) Synchronization should be removed.

"
"Which of the following statements is TRUE about CSMA/CD?
A) IEEE 802.11 wireless LAN runs CSMA/CD protocol
B) Ethernet is not based on CSMA/CD protocol
C) CSMA/CD is not suitable for a high propagation delay network like satellite network
D) There is no contention in a CSMA/CD network",C) CSMA/CD is not suitable for a high propagation delay network like satellite network," The correct answer is C).

"
"Which of the following statements is FALSE regarding a bridge?
A) Bridge is a layer 2 device
B) Bridge reduces collision domain
C) Bridge is used to connect two or more LAN segments
D) Bridge reduces broadcast domain",D) Bridge reduces broadcast domain," The correct answer is D.

"
"A network with CSMA/CD protocol in the MAC layer is running at 1 Gbps over a 1 km cable with no repeaters. The signal speed in the cable is 2 x 10^8 m/sec. The minimum frame size for this network should be
A) 10000 bits
B) 10000 bytes
C) 5000 bits
D) 5000 bytes",A) 10000 bits," The correct answer is A) 10000 bits.

"
